mol_name,smiles,bond_idx,elem1,elem2,bond_order,hybridization_1,hybridization_2,is_in_ring,ring_size,mmff_length,dft_length
propylene,CC=C,6,C,H,1.0,SP2,OTHER,0,0,1.0855943080331618,1.0884820514138025
propylene,CC=C,7,C,H,1.0,SP2,OTHER,0,0,1.085737783900422,1.08673957732154
isobutylene,CC(=C)C,0,C,C,1.0,SP3,SP2,0,0,1.5014216301778789,1.5090263865055509
isobutylene,CC(=C)C,1,C,C,2.0,SP2,SP2,0,0,1.3422651718025018,1.336445
isobutylene,CC(=C)C,2,C,C,1.0,SP2,SP3,0,0,1.5014218054863864,1.5090263865055509
isobutylene,CC(=C)C,3,C,H,1.0,SP3,OTHER,0,0,1.0948110877265538,1.098897024994608
isobutylene,CC(=C)C,4,C,H,1.0,SP3,OTHER,0,0,1.0948110218635907,1.098896134740677
isobutylene,CC(=C)C,5,C,H,1.0,SP3,OTHER,0,0,1.0951168861404705,1.094462690788955
isobutylene,CC(=C)C,6,C,H,1.0,SP2,OTHER,0,0,1.0859018332197437,1.0873246286463856
isobutylene,CC(=C)C,7,C,H,1.0,SP2,OTHER,0,0,1.0859018533150222,1.0873246286463856
isobutylene,CC(=C)C,8,C,H,1.0,SP3,OTHER,0,0,1.0951176980293031,1.0944626907871278
isobutylene,CC(=C)C,9,C,H,1.0,SP3,OTHER,0,0,1.0948107229932487,1.0988958810456066
isobutylene,CC(=C)C,10,C,H,1.0,SP3,OTHER,0,0,1.094810306528487,1.0988966819724226
acetylene,C#C,0,C,C,3.0,SP,SP,0,0,1.200302509232152,1.204968
acetylene,C#C,1,C,H,1.0,SP,OTHER,0,0,1.0658044540486777,1.066645
acetylene,C#C,2,C,H,1.0,SP,OTHER,0,0,1.0658044701393403,1.066645
propyne,CC#C,0,C,C,1.0,SP3,SP,0,0,1.4632930284075027,1.4602600011316476
propyne,CC#C,1,C,C,3.0,SP,SP,0,0,1.2007042531185603,1.2071600017238808
propyne,CC#C,2,C,H,1.0,SP3,OTHER,0,0,1.0941610721900135,1.0965618365568812
propyne,CC#C,3,C,H,1.0,SP3,OTHER,0,0,1.09416052536408,1.0965618641371766
propyne,CC#C,4,C,H,1.0,SP3,OTHER,0,0,1.09416013479472,1.096555887362336
propyne,CC#C,5,C,H,1.0,SP,OTHER,0,0,1.0657096610376582,1.0660700103651728
benzene,c1ccccc1,0,C,C,1.5,SP2,SP2,1,6,1.3948256331161972,1.3968230068297844
benzene,c1ccccc1,1,C,C,1.5,SP2,SP2,1,6,1.39482607478101,1.396819372529605
benzene,c1ccccc1,2,C,C,1.5,SP2,SP2,1,6,1.394825847061919,1.3968202882042484
benzene,c1ccccc1,3,C,C,1.5,SP2,SP2,1,6,1.3948256528634682,1.3968230068297844
benzene,c1ccccc1,4,C,C,1.5,SP2,SP2,1,6,1.394826082700277,1.396819372529605
benzene,c1ccccc1,5,C,C,1.5,SP2,SP2,1,6,1.394825847061919,1.3968202882042484
benzene,c1ccccc1,6,C,H,1.0,SP2,OTHER,0,0,1.0867301249132648,1.0870791762967404
benzene,c1ccccc1,7,C,H,1.0,SP2,OTHER,0,0,1.0867295113509157,1.08708092794005
benzene,c1ccccc1,8,C,H,1.0,SP2,OTHER,0,0,1.086730421687918,1.0870796580881277
benzene,c1ccccc1,9,C,H,1.0,SP2,OTHER,0,0,1.0867301486652519,1.0870791762962806
benzene,c1ccccc1,10,C,H,1.0,SP2,OTHER,0,0,1.0867295816632583,1.0870809279892644
benzene,c1ccccc1,11,C,H,1.0,SP2,OTHER,0,0,1.0867304513130198,1.0870796581410216
toluene,Cc1ccccc1,0,C,C,1.0,SP3,SP2,0,0,1.4998133696700402,1.5125754439303185
toluene,Cc1ccccc1,1,C,C,1.5,SP2,SP2,1,6,1.4003808091333587,1.4010800351450303
toluene,Cc1ccccc1,2,C,C,1.5,SP2,SP2,1,6,1.3959733166507875,1.395562591554388
toluene,Cc1ccccc1,3,C,C,1.5,SP2,SP2,1,6,1.3936056534030707,1.395936285679615
toluene,Cc1ccccc1,4,C,C,1.5,SP2,SP2,1,6,1.3936047245201917,1.3959354220794027
toluene,Cc1ccccc1,5,C,C,1.5,SP2,SP2,1,6,1.3959733012192606,1.3955625893054742
toluene,Cc1ccccc1,6,C,C,1.5,SP2,SP2,1,6,1.4003803733539684,1.4010800351450303
toluene,Cc1ccccc1,7,C,H,1.0,SP3,OTHER,0,0,1.0950884979548454,1.0953955956557428
toluene,Cc1ccccc1,8,C,H,1.0,SP3,OTHER,0,0,1.0950893062020102,1.095395547697269
toluene,Cc1ccccc1,9,C,H,1.0,SP3,OTHER,0,0,1.0943089303021336,1.0981646516410914
toluene,Cc1ccccc1,10,C,H,1.0,SP2,OTHER,0,0,1.08754963494316,1.088063240063738
