mol_name,label,center,mmff_angle,dft_angle,delta
methanesulfonyl_chloride,H-S_C,C,108.82154760381219,108.47365960705827,-0.3478879967539257
methanesulfonyl_chloride,H-S_C,C,108.82154806059428,108.47365960705827,-0.34788845353601516
methanesulfonyl_chloride,H-H_C,C,110.06408545012171,110.96082275885628,0.896737308734572
methanesulfonyl_chloride,H-H_C,C,110.06402681746697,110.96082275885628,0.8967959413893141
methanesulfonyl_chloride,H-H_C,C,110.7988234579915,111.8062599860399,1.0074365280484017
methanesulfonyl_chloride,C-O_S,S,108.5912008820873,109.26840559540781,0.6772047133205064
methanesulfonyl_chloride,C-O_S,S,108.59120345691116,109.26840559540781,0.6772021384966536
methanesulfonyl_chloride,C-Cl_S,S,106.42405930058179,99.36639891999587,-7.057660380585915
methanesulfonyl_chloride,O-O_S,S,121.9782962427697,122.20619622253886,0.22789997976916254
methanesulfonyl_chloride,Cl-O_S,S,105.09389752183064,107.13377154494879,2.039874023118145
methanesulfonyl_chloride,Cl-O_S,S,105.09391678531344,107.13377154494879,2.0398547596353467
methanol,H-O_C,C,109.5276063996871,112.65363274940152,3.1260263497144223
methanol,H-O_C,C,109.52759937227182,112.65364567151535,3.1260462992435265
methanol,H-O_C,C,108.98166419718797,106.65743777470114,-2.3242264224868308
methanol,H-H_C,C,110.07260886874528,108.44866170309251,-1.6239471656527655
methanol,H-H_C,C,109.35609870199431,108.11582304864623,-1.2402756533480783
methanol,H-H_C,C,109.35598834910343,108.11587937034227,-1.2401089787611568
methanol,C-H_O,O,107.09075120576205,107.59797653134395,0.5072253255818993
methyl_acetate,H-O_C,C,108.04794542353824,105.6402943649461,-2.407651058592137
methyl_acetate,H-O_C,C,110.51033264942673,110.65256188616705,0.14222923674032018
methyl_acetate,H-O_C,C,110.51034442330706,110.65255865219835,0.14221422889129087
methyl_acetate,H-H_C,C,108.44412847959308,110.54711904336513,2.102990563772053
methyl_acetate,H-H_C,C,108.4441985702841,110.54715563368448,2.102957063400382
methyl_acetate,H-H_C,C,110.79320087728954,108.78794965301506,-2.005251224274474
methyl_acetate,C-C_O,O,113.90477747138252,115.26706905075999,1.3622915793774695
methyl_acetate,C-O_C,C,109.99997101320363,110.77252307036414,0.7725520571605102
methyl_acetate,O-O_C,C,125.55868628629885,123.45262955053582,-2.1060567357630333
methyl_acetate,C-O_C,C,124.44134270044115,125.77484737713407,1.333504676692911
methyl_acetate,C-H_C,C,109.34573907838308,109.42961749836824,0.08387841998516876
methyl_acetate,C-H_C,C,109.83203072601927,110.14525210550939,0.3132213794901162
methyl_acetate,C-H_C,C,109.8320264603388,110.14525852612311,0.3132320657843195
methyl_acetate,H-H_C,C,108.57239270801682,109.89166430629311,1.3192715982762877
methyl_acetate,H-H_C,C,108.57229553808827,109.89168510709075,1.3193895690024817
methyl_acetate,H-H_C,C,110.65238881349806,107.31361533516669,-3.338773478331376
methylamine,H-N_C,C,110.2049740467005,109.06735798318866,-1.1376160635118424
methylamine,H-N_C,C,110.59881631298565,115.76181429930725,5.162997986321599
